firm_id,date,sales_t
AAAI-15,2015-11-14,16310
 AAAI-15 ,2015-12-07,17468
AAAI-1500,2016-01-07,17485
AAAI-15,2016-02-01,19623
AAAI-15,2016-03-08,19873
AAAI-15,2016-04-07,15690
AAAI-15,2016-05-25,13333
AAAI-15,2016-06-16,NA
  AAAI-15  ,2016-07-09,13953
AAAI-15,2016-08-07,16247
AAAI-15,2016-09-05,15092
 AAAI-15 ,2016-10-27,23608
AAAI-15,2016-11-08,19139
AAAI-15,2016-12-20,16632
AAAI-15,2017-01-29,18065
AAAI-15,2017-02-18,13898
AAAI-15,2017-03-21,15289
AAAI-15,2017-04-10,17075
AAAI-15,2017-05-26,13592
AAAI-15,2017-06-23,20246
AAAI-15,2017-07-15,11469
AAAI-15,2017-08-02,19593
AAAI-15,2017-09-13,19527
AAAI-15,2017-10-06,19660
AAAI-15,2017-11-12,12670
AAAI-15,2017-12-19,15917
AAAI-1500,2018-01-04,23200
AAAI-15,2018-02-26,14228
AAAI-15,2018-03-07,16496
AAAI-15,2018-04-08,NA
AAAI-15,2018-05-01,17265
AAAI-15,2018-06-23,21238
AAAI-15,2018-07-09,19212
AAAI-15,2018-08-10,27906
AAAI-15,2018-09-04,24197
AAAI-15,2018-10-08,20746
AAAI-15,2018-11-29,24809
AAAI-15,2018-12-25,22805
AAAI-15,2019-01-20,20458
AAAI-15,2019-02-02,22137
AAAI-15,2019-03-23,22410
  AAAI-15  ,2019-04-23,19416
AAAI-15,2019-05-26,22603
AAAI-15,2019-06-13,23633
AAAI-15,2019-07-06,18291
AAAI-15,2019-08-03,21522
AAAI-15,2019-09-20,16525
AAAI-15,2019-10-20,26261
AAAI-15,2019-11-17,21145
AAAI-15,2019-12-27,18117
ABFM-90,2010-01-11,3782
ABFM-90,2010-02-13,4246
ABFM-90,2010-03-07,5236
ABFM-90,2010-04-09,NA
ABFM-90,2010-05-17,2924
ABFM-90,2010-06-06,3904
ABFM-90,2010-07-10,2640
ABFM-90,2010-08-09,4178
ABFM-90,2010-09-14,3873
ABFM-90,2010-10-19,NA
ABFM-9000,2010-11-17,4128
ABFM-90,2010-12-22,4249
  ABFM-90  ,2011-01-13,4242
ABFM-90,2011-02-23,4543
ABFM-90,2011-03-26,3560
ABFM-90,2011-04-16,3078
ABFM-90,2011-05-27,5549
 ABFM-90 ,2011-06-05,5309
ABFM-90,2011-07-12,3337
ABFM-9000,2011-08-02,4974
ABFM-90,2011-09-08,3541
ABFM-90,2011-10-03,3481
ABFM-90,2011-11-08,5915
ABFM-9000,2011-12-24,NA
ABFM-90,2012-01-06,3123
ABFM-90,2012-02-19,3594
ABFM-90,2012-03-06,3496
  ABFM-9000  ,2012-04-03,4464
ABFM-90,2012-05-21,4330
ABFM-90,2012-06-07,4063
ABFM-90,2012-07-20,4337
ABFM-90,2012-08-04,3300
ABFM-90,2012-09-29,NA
ABFM-90,2012-10-26,NA
ABFM-90,2012-11-28,NA
ABFM-90,2012-12-02,4051
ABFM-90,2013-01-23,5745
ABFM-90,2013-02-03,4788
ABFM-9000,2013-03-15,5582
  ABFM-9000  ,2013-04-03,4028
ABFM-90,2013-05-18,4133
ABFM-90,2013-06-07,4009
 ABFM-90 ,2013-07-05,4111
ABFM-90,2013-08-26,3612
ABFM-90,2013-09-10,4779
ABFM-90,2013-10-30,3854
ABFM-90,2013-11-01,4132
ABFM-90,2013-12-14,4033
ABFM-90,2014-01-05,4453
ABFM-90,2014-02-23,4827
 ABFM-90 ,2014-03-15,4763
ABFM-90,2014-04-05,3793
ABFM-90,2014-05-16,4427
ABFM-90,2014-06-06,3700
ABFM-90,2014-07-01,4380
ABFM-90,2014-08-05,4541
ABFM-90,2014-09-20,3965
ABFM-9000,2014-10-08,NA
ABFM-90,2014-11-03,3687
ABFM-90,2014-12-18,4919
ABFM-9000,2015-01-22,4585
ABFM-90,2015-02-16,5417
ABFM-90,2015-03-06,4225
ABFM-90,2015-04-01,4645
ABFM-90,2015-05-10,5529
ABFM-90,2015-06-01,5776
ABFM-90,2015-07-04,5427
ABFM-90,2015-08-08,5680
ABFM-90,2015-09-04,4567
ABFM-90,2015-10-24,4249
ABFM-90,2015-11-13,4263
ABFM-90,2015-12-01,3302
ABFM-90,2016-01-15,3546
ABFM-90,2016-02-09,3436
ABFM-90,2016-03-05,4326
ABFM-90,2016-04-26,4389
ABFM-90,2016-05-01,3988
ABFM-90,2016-06-16,5801
ABFM-9000,2016-07-29,4927
ABFM-90,2016-08-10,4634
 ABFM-90 ,2016-09-19,5712
ABFM-90,2016-10-03,4654
ABFM-90,2016-11-02,5284
ABFM-90,2016-12-03,3494
ABFM-90,2017-01-01,5848
ABFM-90,2017-02-08,5019
ABFM-90,2017-03-18,4438
ABFM-90,2017-04-14,4935
  ABFM-90  ,2017-05-09,4093
ABFM-90,2017-06-16,4695
ABFM-90,2017-07-18,5130
ABFM-90,2017-08-24,5130
ABFM-90,2017-09-07,4801
ABFM-90,2017-10-30,4945
ABFM-90,2017-11-21,4809
 ABFM-90 ,2017-12-27,3385
ABFM-90,2018-01-09,5454
ABFM-90,2018-02-08,4256
ABFM-90,2018-03-07,4021
ABFM-90,2018-04-07,4604
ABFM-90,2018-05-04,4318
ABFM-90,2018-06-13,6092
ABFM-90,2018-07-20,4726
ABFM-90,2018-08-18,5832
ABFM-90,2018-09-04,4829
ABFM-9000,2018-10-16,4135
ABFM-90,2018-11-14,4980
  ABFM-90  ,2018-12-20,4361
ABFM-90,2019-01-16,4407
ABFM-90,2019-02-22,4173
ABFM-90,2019-03-28,4612
ABFM-90,2019-04-24,4694
ABFM-90,2019-05-20,4182
  ABFM-90  ,2019-06-22,3421
ABFM-90,2019-07-27,5198
ABFM-90,2019-08-11,4651
 ABFM-90 ,2019-09-07,5461
ABFM-90,2019-10-19,4933
ABFM-9000,2019-11-25,NA
ABFM-90,2019-12-12,4550
ABZO-32,2010-01-16,7670
ABZO-32,2010-02-18,12586
ABZO-32,2010-03-14,8166
ABZO-32,2010-04-04,12359
ABZO-32,2010-05-15,9610
ABZO-32,2010-06-22,11562
ABZO-32,2010-07-09,11464
ABZO-32,2010-08-17,13231
ABZO-32,2010-09-22,10036
ABZO-32,2010-10-30,11109
ABZO-32,2010-11-09,8996
ABZO-32,2010-12-12,13429
ABZO-32,2011-01-02,12988
ABZO-32,2011-02-19,14938
ABZO-32,2011-03-08,11417
ABZO-32,2011-04-15,13752
ABZO-32,2011-05-20,10773
ABZO-32,2011-06-25,NA
ABZO-32,2011-07-10,NA
ABZO-32,2011-08-18,9179
ABZO-32,2011-09-27,13168
ABZO-32,2011-10-28,NA
ABZO-32,2011-11-26,12416
ABZO-32,2011-12-01,10221
ABZO-32,2012-01-02,NA
ABZO-32,2012-02-16,10757
  ABZO-32  ,2012-03-02,11618
 ABZO-32 ,2012-04-24,10447
ABZO-3200,2012-05-13,12231
ABZO-3200,2012-06-21,12580
ABZO-32,2012-07-15,NA
ABZO-32,2012-08-22,16949
ABZO-32,2012-09-20,10734
ABZO-32,2012-10-23,12972
ABZO-32,2012-11-27,14542
ABZO-32,2012-12-24,14550
ABZO-32,2013-01-07,13656
ABZO-32,2013-02-21,11276
  ABZO-32  ,2013-03-03,10983
ABZO-3200,2013-04-19,12656
ABZO-32,2013-05-06,12238
ABZO-32,2013-06-07,13361
ABZO-32,2013-07-16,17013
ABZO-3200,2013-08-14,11351
ABZO-32,2013-09-20,10357
ABZO-32,2013-10-24,11859
ABZO-32,2013-11-01,13893
ABZO-32,2013-12-18,11946
ABZO-32,2014-01-08,17446
ABZO-32,2014-02-26,13114
ABZO-32,2014-03-26,16701
ABZO-32,2014-04-28,12059
ABZO-32,2014-05-09,14659
ABZO-32,2014-06-06,14518
ABZO-32,2014-07-18,11914
ABZO-32,2014-08-21,11834
ABZO-32,2014-09-10,13789
ABZO-32,2014-10-30,13886
ABZO-32,2014-11-19,12187
ABZO-32,2014-12-11,15795
ABZO-32,2015-01-27,18929
ABZO-32,2015-02-22,12188
ABZO-32,2015-03-18,18023
ABZO-32,2015-04-14,15373
ABZO-3200,2015-05-28,16661
ABZO-32,2015-06-10,15643
ABZO-32,2015-07-19,12654
ABZO-32,2015-08-30,19810
ABZO-32,2015-09-15,16509
ABZO-32,2015-10-03,19057
ABZO-32,2015-11-10,15930
ABZO-32,2015-12-08,14135
ABZO-32,2016-01-29,17053
ABZO-32,2016-02-18,15926
ABZO-32,2016-03-06,14844
ABZO-32,2016-04-04,14392
ABZO-32,2016-05-11,14469
ABZO-32,2016-06-10,16238
  ABZO-32  ,2016-07-18,13783
ABZO-32,2016-08-02,17069
  ABZO-32  ,2016-09-12,14917
ABZO-32,2016-10-13,12580
ABZO-3200,2016-11-17,16184
ABZO-32,2016-12-11,21406
ABZO-32,2017-01-29,15101
ABZO-32,2017-02-23,18199
ABZO-32,2017-03-24,13749
ABZO-32,2017-04-14,11329
ABZO-32,2017-05-01,21421
ABZO-32,2017-06-21,11226
ABZO-32,2017-07-01,14305
ABZO-32,2017-08-15,16235
ABZO-32,2017-09-23,NA
ABZO-32,2017-10-03,22068
ABZO-32,2017-11-13,19157
ABZO-32,2017-12-09,19268
ABZO-32,2018-01-11,24624
  ABZO-32  ,2018-02-22,18751
ABZO-32,2018-03-16,17016
ABZO-32,2018-04-06,19369
ABZO-32,2018-05-05,15444
ABZO-32,2018-06-10,17101
ABZO-32,2018-07-08,17700
  ABZO-32  ,2018-08-20,16172
ABZO-3200,2018-09-08,17001
ABZO-32,2018-10-06,15378
  ABZO-32  ,2018-11-29,17974
ABZO-32,2018-12-22,16036
ABZO-32,2019-01-17,15805
ABZO-32,2019-02-08,17876
ABZO-32,2019-03-03,14783
ABZO-32,2019-04-14,12542
ABZO-32,2019-05-27,14414
ABZO-32,2019-06-22,16416
ABZO-32,2019-07-16,16357
ABZO-32,2019-08-20,20697
ABZO-32,2019-09-07,17326
ABZO-32,2019-10-16,15241
ABZO-32,2019-11-07,17696
 ABZO-3200 ,2019-12-11,NA
ACWI-63,2010-01-14,3371
ACWI-63,2010-02-10,3606
ACWI-63,2010-03-12,4385
ACWI-63,2010-04-08,3763
ACWI-63,2010-05-01,4317
ACWI-63,2010-06-20,4236
ACWI-63,2010-07-11,4300
ACWI-63,2010-08-11,3217
ACWI-63,2010-09-13,3085
ACWI-63,2010-10-18,4497
ACWI-63,2010-11-10,3121
ACWI-63,2010-12-14,3648
ACWI-63,2011-01-10,3793
ACWI-63,2011-02-23,5679
  ACWI-63  ,2011-03-12,4599
ACWI-63,2011-04-08,5070
ACWI-63,2011-05-12,3381
ACWI-63,2011-06-23,3428
ACWI-63,2011-07-29,3636
ACWI-63,2011-08-23,3498
ACWI-63,2011-09-18,4043
ACWI-63,2011-10-26,4889
ACWI-6300,2011-11-15,3476
ACWI-6300,2011-12-10,5144
ACWI-63,2012-01-21,4214
ACWI-63,2012-02-24,4281
ACWI-63,2012-03-17,NA
ACWI-63,2012-04-25,3600
ACWI-63,2012-05-15,4201
ACWI-63,2012-06-12,3714
ACWI-63,2012-07-05,3292
ACWI-63,2012-08-13,5470
  ACWI-63  ,2012-09-15,3747
ACWI-63,2012-10-04,5241
ACWI-63,2012-11-28,3481
ACWI-63,2012-12-26,5273
ACWI-63,2013-01-04,4976
ACWI-63,2013-02-14,4175
ACWI-63,2013-03-18,3925
ACWI-63,2013-04-13,NA
ACWI-63,2013-05-23,4303
ACWI-63,2013-06-27,4742
 ACWI-6300 ,2013-07-19,NA
 ACWI-6300 ,2013-08-03,4296
ACWI-63,2013-09-04,4882
  ACWI-63  ,2013-10-14,4200
ACWI-63,2013-11-17,4301
ACWI-63,2013-12-27,4393
ACWI-63,2014-01-14,4216
ACWI-63,2014-02-07,4109
ACWI-63,2014-03-02,4524
ACWI-63,2014-04-29,6446
ACWI-63,2014-05-02,3825
ACWI-63,2014-06-06,5189
ACWI-63,2014-07-15,4392
ACWI-63,2014-08-10,6210
ACWI-63,2014-09-11,3420
ACWI-63,2014-10-09,4573
ACWI-63,2014-11-19,5613
ACWI-63,2014-12-26,3251
ACWI-63,2015-01-15,3334
 ACWI-63 ,2015-02-02,3727
ACWI-63,2015-03-15,4196
  ACWI-6300  ,2015-04-25,4515
  ACWI-63  ,2015-05-02,3670
ACWI-63,2015-06-09,4596
ACWI-63,2015-07-29,3699
ACWI-63,2015-08-16,5079
ACWI-63,2015-09-14,4545
ACWI-63,2015-10-04,5400
ACWI-63,2015-11-11,4611
ACWI-63,2015-12-16,4912
ACWI-63,2016-01-09,5496
ACWI-63,2016-02-26,4269
ACWI-63,2016-03-14,6034
ACWI-63,2016-04-05,4767
ACWI-6300,2016-05-05,NA
ACWI-63,2016-06-01,4030
ACWI-63,2016-07-04,6115
ACWI-63,2016-08-02,5513
ACWI-63,2016-09-20,5808
 ACWI-63 ,2016-10-23,4792
ACWI-6300,2016-11-29,5811
ACWI-63,2016-12-29,4083
  ACWI-63  ,2017-01-25,5211
ACWI-63,2017-02-21,4279
ACWI-63,2017-03-18,7317
ACWI-63,2017-04-29,3633
ACWI-63,2017-05-04,5488
ACWI-63,2017-06-01,4408
ACWI-63,2017-07-11,4869
ACWI-63,2017-08-30,NA
ACWI-63,2017-09-15,5288
ACWI-63,2017-10-01,6575
ACWI-63,2017-11-29,5450
ACWI-63,2017-12-23,7535
ACWI-63,2018-01-26,7253
ACWI-63,2018-02-11,6483
ACWI-63,2018-03-26,7112
ACWI-63,2018-04-22,7915
ACWI-63,2018-05-12,5176
ACWI-63,2018-06-27,5775
ACWI-63,2018-07-30,6434
ACWI-63,2018-08-17,6070
ACWI-63,2018-09-03,6860
ACWI-63,2018-10-17,4808
  ACWI-63  ,2018-11-08,5162
ACWI-63,2018-12-20,4724
ACWI-63,2019-01-04,4993
ACWI-63,2019-02-12,6733
ACWI-63,2019-03-16,5332
ACWI-63,2019-04-07,4235
ACWI-63,2019-05-18,4939
ACWI-63,2019-06-17,3671
 ACWI-63 ,2019-07-10,5228
ACWI-63,2019-08-14,3767
ACWI-63,2019-09-08,4792
ACWI-63,2019-10-26,NA
ACWI-63,2019-11-27,4731
ACWI-63,2019-12-01,5314
ADAY-83,2010-01-11,2332
ADAY-83,2010-02-13,2509
ADAY-83,2010-03-29,3184
ADAY-83,2010-04-23,2859
ADAY-83,2010-05-29,2571
ADAY-83,2010-06-06,NA
ADAY-83,2010-07-14,3311
ADAY-83,2010-08-01,2252
ADAY-83,2010-09-27,2371
ADAY-83,2010-10-15,3199
ADAY-83,2010-11-20,3501
ADAY-83,2010-12-29,3466
ADAY-83,2011-01-22,3936
ADAY-8300,2011-02-10,3979
ADAY-83,2011-03-17,2797
ADAY-83,2011-04-01,2872
ADAY-83,2011-05-04,3789
ADAY-83,2011-06-22,3450
ADAY-83,2011-07-20,4303
ADAY-83,2011-08-29,2819
ADAY-83,2011-09-21,3548
ADAY-83,2011-10-09,3656
ADAY-83,2011-11-02,2846
ADAY-83,2011-12-06,3174
ADAY-83,2012-01-10,2955
ADAY-83,2012-02-13,4355
ADAY-83,2012-03-04,3280
  ADAY-83  ,2012-04-28,3761
ADAY-83,2012-05-25,3113
ADAY-83,2012-06-06,2936
ADAY-83,2012-07-16,3186
ADAY-83,2012-08-22,2039
ADAY-83,2012-09-07,3438
ADAY-83,2012-10-18,2897
 ADAY-83 ,2012-11-07,3516
  ADAY-83  ,2012-12-10,3557
ADAY-83,2013-01-27,NA
ADAY-83,2013-02-14,2698
ADAY-83,2013-03-06,3210
ADAY-83,2013-04-06,3262
ADAY-83,2013-05-10,3613
ADAY-83,2013-06-24,3744
ADAY-83,2013-07-20,3431
  ADAY-83  ,2013-08-17,3518
ADAY-83,2013-09-24,3535
ADAY-83,2013-10-09,3195
ADAY-83,2013-11-05,2868
ADAY-83,2013-12-01,3186
ADAY-83,2014-01-28,3739
ADAY-83,2014-02-01,4606
ADAY-83,2014-03-28,3655
ADAY-83,2014-04-21,3504
ADAY-83,2014-05-03,4189
ADAY-83,2014-06-09,3817
ADAY-83,2014-07-17,4362
ADAY-83,2014-08-29,4084
 ADAY-83 ,2014-09-03,3390
ADAY-83,2014-10-06,3310
ADAY-83,2014-11-21,2917
ADAY-83,2014-12-21,3219
ADAY-83,2015-01-22,4160
ADAY-83,2015-02-13,3076
ADAY-83,2015-03-29,3020
ADAY-83,2015-04-11,2691
ADAY-83,2015-05-24,3755
ADAY-83,2015-06-05,3548
ADAY-83,2015-07-19,4999
ADAY-83,2015-08-17,3282
ADAY-83,2015-09-04,3548
ADAY-83,2015-10-12,2636
ADAY-83,2015-11-21,3855
ADAY-83,2015-12-19,4349
ADAY-83,2016-01-27,3181
ADAY-83,2016-02-23,4266
ADAY-83,2016-03-07,4094
ADAY-83,2016-04-01,3074
ADAY-83,2016-05-15,4394
ADAY-83,2016-06-03,3535
ADAY-83,2016-07-18,4544
ADAY-83,2016-08-07,3444
ADAY-83,2016-09-22,3483
ADAY-83,2016-10-02,3945
ADAY-83,2016-11-14,3278
ADAY-83,2016-12-04,3727
ADAY-83,2017-01-02,2650
ADAY-83,2017-02-14,3680
ADAY-83,2017-03-27,3259
ADAY-83,2017-04-24,2852
ADAY-83,2017-05-03,3114
ADAY-83,2017-06-12,2296
ADAY-83,2017-07-25,2963
ADAY-83,2017-08-02,3853
ADAY-83,2017-09-02,3565
ADAY-83,2017-10-02,3787
ADAY-83,2017-11-26,2782
ADAY-83,2017-12-19,3334
ADAY-8300,2018-01-09,3513
ADAY-83,2018-02-26,4031
ADAY-83,2018-03-16,NA
ADAY-83,2018-04-17,2967
ADAY-83,2018-05-20,3178
ADAY-83,2018-06-14,3528
ADAY-83,2018-07-30,5544
  ADAY-83  ,2018-08-22,4380
ADAY-8300,2018-09-15,5486
ADAY-83,2018-10-22,5011
ADAY-83,2018-11-17,5039
ADAY-83,2018-12-02,4784
ADAY-83,2019-01-01,4265
ADAY-83,2019-02-07,5215
ADAY-83,2019-03-06,3861
ADAY-83,2019-04-20,3780
ADAY-83,2019-05-21,3496
ADAY-83,2019-06-13,4578
ADAY-83,2019-07-21,4897
ADAY-8300,2019-08-15,4959
ADAY-83,2019-09-29,NA
ADAY-83,2019-10-16,4575
 ADAY-83 ,2019-11-04,5358
ADAY-83,2019-12-21,5360
  AEOJ-42  ,2010-01-16,13444
AEOJ-42,2010-02-19,12690
AEOJ-42,2010-03-09,11335
AEOJ-42,2010-04-28,9783
AEOJ-42,2010-05-27,10933
AEOJ-42,2010-06-23,8947
AEOJ-42,2010-07-24,8099
AEOJ-42,2010-08-06,9441
AEOJ-42,2010-09-05,9977
AEOJ-42,2010-10-11,10514
AEOJ-42,2010-11-01,14116
AEOJ-42,2010-12-05,12290
AEOJ-42,2011-01-18,11124
AEOJ-42,2011-02-04,10406
AEOJ-42,2011-03-06,11041
AEOJ-42,2011-04-18,11166
  AEOJ-42  ,2011-05-08,9194
AEOJ-42,2011-06-22,9541
AEOJ-42,2011-07-07,9662
AEOJ-4200,2011-08-29,9809
AEOJ-42,2011-09-27,9131
  AEOJ-42  ,2011-10-28,7014
AEOJ-42,2011-11-29,8026
AEOJ-42,2011-12-05,7692
AEOJ-42,2012-01-02,10016
AEOJ-42,2012-02-24,9251
AEOJ-42,2012-03-22,8534
AEOJ-42,2012-04-10,11417
AEOJ-42,2012-05-30,8745
AEOJ-42,2012-06-08,11314
AEOJ-42,2012-07-17,10373
AEOJ-4200,2012-08-07,7457
 AEOJ-42 ,2012-09-13,7280
AEOJ-42,2012-10-06,7703
  AEOJ-42  ,2012-11-08,7522
AEOJ-42,2012-12-14,8679
AEOJ-42,2013-01-08,9271
AEOJ-42,2013-02-14,9182
AEOJ-42,2013-03-30,11132
AEOJ-42,2013-04-24,8176
AEOJ-42,2013-05-07,11187
AEOJ-42,2013-06-03,8419
AEOJ-42,2013-07-30,7663
AEOJ-42,2013-08-26,8564
AEOJ-42,2013-09-19,10598
  AEOJ-42  ,2013-10-01,8284
 AEOJ-42 ,2013-11-23,8604
AEOJ-42,2013-12-22,7243
 AEOJ-42 ,2014-01-18,9837
AEOJ-42,2014-02-15,8853
  AEOJ-42  ,2014-03-19,8538
AEOJ-42,2014-04-07,8059
AEOJ-42,2014-05-30,7754
AEOJ-42,2014-06-09,7776
AEOJ-42,2014-07-17,9666
AEOJ-42,2014-08-03,11957
AEOJ-42,2014-09-18,8614
 AEOJ-42 ,2014-10-27,NA
AEOJ-42,2014-11-23,7233
  AEOJ-42  ,2014-12-23,8232
AEOJ-42,2015-01-20,7637
AEOJ-42,2015-02-19,9977
AEOJ-42,2015-03-26,9896
AEOJ-42,2015-04-07,8281
 AEOJ-42 ,2015-05-22,10703
AEOJ-42,2015-06-03,11487
AEOJ-42,2015-07-23,7655
AEOJ-42,2015-08-23,10324
AEOJ-42,2015-09-22,9948
AEOJ-42,2015-10-15,7208
AEOJ-42,2015-11-06,10528
AEOJ-42,2015-12-27,10422
AEOJ-42,2016-01-01,8057
AEOJ-42,2016-02-23,9834
AEOJ-42,2016-03-09,7965
AEOJ-42,2016-04-02,8149
 AEOJ-42 ,2016-05-09,7631
AEOJ-42,2016-06-16,8480
AEOJ-42,2016-07-14,6840
AEOJ-42,2016-08-10,9415
AEOJ-42,2016-09-13,6723
AEOJ-42,2016-10-08,10587
AEOJ-42,2016-11-17,7633
AEOJ-42,2016-12-20,11767
  AEOJ-42  ,2017-01-14,7661
AEOJ-42,2017-02-05,8119
AEOJ-42,2017-03-05,6122
 AEOJ-42 ,2017-04-14,9244
AEOJ-42,2017-05-17,12560
AEOJ-42,2017-06-12,7828
AEOJ-42,2017-07-14,11114
AEOJ-42,2017-08-09,8012
AEOJ-42,2017-09-08,6975
AEOJ-42,2017-10-30,8153
AEOJ-42,2017-11-27,11664
AEOJ-42,2017-12-11,9392
AEOJ-4200,2018-01-29,7625
AEOJ-42,2018-02-04,8676
AEOJ-42,2018-03-18,7769
AEOJ-42,2018-04-06,11520
  AEOJ-42  ,2018-05-07,7475
AEOJ-42,2018-06-12,10111
AEOJ-42,2018-07-19,7487
AEOJ-42,2018-08-26,8851
AEOJ-42,2018-09-24,9579
  AEOJ-42  ,2018-10-08,8216
AEOJ-42,2018-11-24,7369
AEOJ-42,2018-12-29,8469
AEOJ-42,2019-01-20,NA
AEOJ-42,2019-02-20,8178
  AEOJ-42  ,2019-03-04,8926
AEOJ-42,2019-04-27,10463
AEOJ-42,2019-05-27,8517
AEOJ-42,2019-06-19,7478
AEOJ-42,2019-07-01,8159
 AEOJ-42 ,2019-08-02,6063
AEOJ-42,2019-09-09,8442
AEOJ-42,2019-10-22,NA
AEOJ-42,2019-11-04,9437
AEOJ-42,2019-12-04,11389
AGNI-54,2010-01-12,2852
AGNI-54,2010-02-10,NA
AGNI-54,2010-03-06,NA
AGNI-54,2010-04-22,2314
AGNI-54,2010-05-20,2355
AGNI-54,2010-06-06,3190
AGNI-5400,2010-07-30,NA
AGNI-54,2010-08-02,2565
AGNI-54,2010-09-13,2489
AGNI-54,2010-10-29,2377
AGNI-54,2010-11-21,2722
AGNI-54,2010-12-25,2224
AGNI-54,2011-01-20,2670
  AGNI-54  ,2011-02-27,3367
AGNI-54,2011-03-29,3521
  AGNI-54  ,2011-04-08,2704
AGNI-54,2011-05-26,3353
AGNI-54,2011-06-06,2934
 AGNI-54 ,2011-07-13,2819
AGNI-54,2011-08-14,3496
AGNI-54,2011-09-18,3344
AGNI-54,2011-10-13,2939
AGNI-54,2011-11-02,3169
AGNI-54,2011-12-27,3193
AGNI-54,2012-01-13,NA
AGNI-54,2012-02-24,2427
AGNI-5400,2012-03-08,NA
AGNI-54,2012-04-21,2847
AGNI-54,2012-05-26,3314
AGNI-5400,2012-06-11,2814
AGNI-54,2012-07-07,3003
AGNI-54,2012-08-06,2690
AGNI-54,2012-09-19,2675
AGNI-54,2012-10-02,2755
AGNI-54,2012-11-18,2827
AGNI-54,2012-12-28,2827
AGNI-54,2013-01-05,4319
AGNI-54,2013-02-22,4123
AGNI-54,2013-03-07,3947
AGNI-54,2013-04-16,4006
AGNI-54,2013-05-26,3747
AGNI-54,2013-06-24,3890
AGNI-54,2013-07-29,3544
AGNI-54,2013-08-07,3638
AGNI-54,2013-09-26,3031
  AGNI-54  ,2013-10-23,NA
AGNI-54,2013-11-03,4199
  AGNI-54  ,2013-12-16,3709
AGNI-54,2014-01-27,2774
AGNI-54,2014-02-01,3145
AGNI-54,2014-03-23,4094
AGNI-54,2014-04-19,3546
 AGNI-54 ,2014-05-12,2887
AGNI-54,2014-06-03,4417
AGNI-54,2014-07-20,3984
AGNI-54,2014-08-23,3614
AGNI-54,2014-09-26,4419
AGNI-54,2014-10-05,2275
AGNI-54,2014-11-13,3964
AGNI-54,2014-12-09,3859
AGNI-54,2015-01-14,3504
AGNI-54,2015-02-04,4209
AGNI-54,2015-03-28,3505
AGNI-54,2015-04-02,3301
AGNI-54,2015-05-29,3353
AGNI-54,2015-06-12,3685
AGNI-54,2015-07-04,NA
AGNI-54,2015-08-25,3283
AGNI-54,2015-09-12,4190
AGNI-54,2015-10-07,3874
 AGNI-54 ,2015-11-25,3411
AGNI-54,2015-12-07,3714
AGNI-54,2016-01-23,2728
AGNI-54,2016-02-01,NA
AGNI-5400,2016-03-27,4196
AGNI-54,2016-04-21,3077
AGNI-54,2016-05-15,3409
 AGNI-54 ,2016-06-02,3455
